"""","調査産業計(人)","建設業(人)","製造業(人)","電気ｶﾞｽ_熱供給_水道業(人)","情報通信業(人)","運輸業,郵便業(人)","卸売業,小売業(人)","金融業,保険業(人)","不動産業,物品賃貸業(人)","学術研究,専門･技術ｻｰﾋﾞｽ業(人)","宿泊業,飲食ｻｰﾋﾞｽ業(人)","生活関連ｻｰﾋﾞｽ業,娯楽業(人)","教育，学習支援業(人)","医療，福祉(人)","複合ｻｰﾋﾞｽ事業(人)","サービス業（他に分類されないもの）(人)"
"平成20年(2008年)","234602.0","16897.0","47184.0","3021.0","3016.0","17511.0","51775.0","7338.0","…","…","…","…","16345.0","34503.0","7790.0","…"
"平成21年(2009年)","255977.0","15062.0","46926.0","2424.0","3399.0","17206.0","56840.0","6916.0","…","…","…","…","18462.0","41925.0","5257.0","…"
"平成22年(2010年)","253885.0","14385.0","43694.0","2432.0","3102.0","17712.0","55609.0","7047.0","1801.0","3515.0","17455.0","9474.0","18601.0","42502.0","5017.0","11539.0"
"平成23年(2011年)","253864.0","14328.0","44839.0","2473.0","3071.0","18270.0","54880.0","6916.0","1900.0","3277.0","17378.0","9708.0","18982.0","41637.0","4634.0","11573.0"
"平成24年(2012年)","271059.0","14068.0","46833.0","2090.0","3480.0","19564.0","53993.0","8273.0","2689.0","4258.0","20186.0","9820.0","20316.0","44784.0","2832.0","17874.0"
"平成25年(2013年)","276021.0","13819.0","46112.0","2510.0","3502.0","19529.0","53048.0","8133.0","2833.0","4227.0","22459.0","11192.0","20745.0","46781.0","2858.0","18275.0"
"","","","","","","","","","","","","","","","",""
"2013年 1月","272822.0","13956.0","45655.0","2387.0","3339.0","19354.0","52452.0","8175.0","2703.0","4278.0","22886.0","10119.0","20642.0","45983.0","2826.0","18067.0"
"2013年 2月","272882.0","13777.0","45561.0","2399.0","3361.0","19294.0","52810.0","8163.0","2648.0","4256.0","22741.0","10049.0","20596.0","46055.0","2819.0","18353.0"
"2013年 3月","272045.0","13708.0","45596.0","2399.0","3420.0","19222.0","53236.0","8062.0","2677.0","4234.0","22170.0","9969.0","20277.0","46251.0","2804.0","18020.0"
"","","","","","","","","","","","","","","","",""
"2013年 4月","274680.0","13892.0","46005.0","2447.0","3428.0","19416.0","54209.0","8268.0","2757.0","4085.0","21537.0","10108.0","20785.0","46542.0","2858.0","18343.0"
"2013年 5月","276186.0","13936.0","46313.0","2480.0","3549.0","19440.0","53665.0","8234.0","2888.0","4189.0","21934.0","10602.0","21041.0","46721.0","2821.0","18373.0"
"2013年 6月","278287.0","13923.0","46165.0","2563.0","3545.0","19520.0","53663.0","8178.0","2893.0","4184.0","22447.0","12057.0","21066.0","46902.0","2808.0","18373.0"
"","","","","","","","","","","","","","","","",""
"2013年 7月","277241.0","13902.0","46210.0","2567.0","3569.0","19643.0","52608.0","8166.0","2892.0","4191.0","22753.0","11722.0","21056.0","46878.0","2794.0","18290.0"
"2013年 8月","277352.0","13861.0","46382.0","2576.0","3579.0","19665.0","52393.0","8146.0","2894.0","4209.0","23080.0","11641.0","20776.0","46988.0","2807.0","18355.0"
"2013年 9月","277392.0","13660.0","46335.0","2575.0","3578.0","19584.0","52725.0","8093.0","2891.0","4276.0","22978.0","11678.0","20647.0","47129.0","2931.0","18312.0"
"","","","","","","","","","","","","","","","",""
"2013年10月","277715.0","13755.0","46357.0","2581.0","3602.0","19687.0","52568.0","8050.0","2889.0","4271.0","22359.0","12233.0","20687.0","47550.0","2956.0","18170.0"
"2013年11月","278418.0","13991.0","46336.0","2572.0","3568.0","19723.0","53113.0","8048.0","2935.0","4280.0","22390.0","12228.0","20662.0","47342.0","2938.0","18292.0"
"2013年12月","277240.0","13469.0","46439.0","2570.0","3480.0","19796.0","53128.0","8014.0","2937.0","4272.0","22227.0","11888.0","20703.0","47029.0","2934.0","18354.0"
